player_id,first_name,last_name,position,team_id,game_id,league,toi,time_on_ice,goals,assists,points,shots,hits,blocked_shots,penalty_minutes,plus_minus,faceoff_attempts,faceoff_wins,faceoff_losses,faceoff_pct,starting
161,Tereza,Vanišová,F,3,3,pwhl,16:25:00,16.4,0,1,1,0,0,0,4,1,0,0,0,NA,1
29,Kennedy,Marchment,F,3,3,pwhl,04:13:00,4.2,0,1,1,0,0,0,0,1,0,0,0,NA,0
83,Erin,Ambrose,D,3,3,pwhl,22:16:00,22.3,0,0,0,0,0,0,2,1,0,0,0,NA,1
80,Ann-Sophie,Bettez,F,3,3,pwhl,19:46:00,19.8,1,0,1,3,0,0,0,0,1,1,0,1,0
81,Sarah,Bujold,F,3,3,pwhl,11:49:00,11.8,0,0,0,0,0,0,0,0,8,7,1,0.875,0
31,Marie-Philip,Poulin,F,3,3,pwhl,19:02:00,19,0,1,1,3,0,0,2,1,25,16,9,0.64,1
26,Claire,Dalton,F,3,3,pwhl,07:33:00,7.6,1,0,1,2,0,0,0,1,0,0,0,NA,0
30,Kristin,O'Neill,F,3,3,pwhl,17:28:00,17.5,0,1,1,2,0,0,0,0,15,9,6,0.6,0
82,Dominika,Lásková,D,3,3,pwhl,26:56:00,26.9,0,0,0,1,0,0,2,-1,0,0,0,NA,0
2,Emily,Brown,D,1,4,pwhl,17:48:00,17.8,0,0,0,0,0,0,0,-1,0,0,0,NA,0
12,Megan,Keller,D,1,4,pwhl,25:00:00,25,1,0,1,5,0,0,0,0,0,0,0,NA,1
167,Sidney,Morin,D,1,4,pwhl,26:05:00,26.1,0,1,1,3,0,0,0,0,0,0,0,NA,1
18,Sophie,Shirley,F,1,4,pwhl,13:26:00,13.4,0,1,1,2,0,0,0,0,0,0,0,NA,0
15,Alina,Müller,F,1,4,pwhl,21:39:00,21.6,0,1,1,5,0,0,0,0,25,15,10,0.6,1
111,Taylor,Wenczkowski,F,1,4,pwhl,05:57:00,6,0,0,0,0,0,0,0,0,0,0,0,NA,0
7,Kaleigh,Fratkin,D,1,4,pwhl,13:00:00,13,0,0,0,0,0,0,0,0,0,0,0,NA,0
110,Amanda,Pelkey,F,1,4,pwhl,07:00:00,7,0,0,0,0,0,0,0,0,0,0,0,NA,0
9,Taylor,Girard,F,1,4,pwhl,15:29:00,15.5,0,0,0,1,0,0,0,-2,0,0,0,NA,0
11,Sophie,Jaques,D,1,4,pwhl,18:40:00,18.7,0,0,0,0,0,0,0,-1,2,2,0,1,0
109,Gigi,Marvin,F,1,4,pwhl,07:44:00,7.7,0,0,0,0,0,0,0,0,5,3,2,0.6,0
1,Hannah,Brandt,F,1,4,pwhl,13:56:00,13.9,0,0,0,4,0,0,0,-2,4,2,2,0.5,0
13,Hilary,Knight,F,1,4,pwhl,22:59:00,23,0,0,0,3,0,0,0,0,0,0,0,NA,1
5,Jessica,Digirolamo,D,1,4,pwhl,16:23:00,16.4,0,0,0,1,0,0,2,-1,0,0,0,NA,0
4,Shiann,Darkangelo,F,1,4,pwhl,16:30:00,16.5,0,0,0,2,0,0,0,-2,1,1,0,1,0
8,Loren,Gabel,F,1,4,pwhl,20:06:00,20.1,0,0,0,6,0,0,0,0,0,0,0,NA,1
17,Theresa,Schafzahl,F,1,4,pwhl,13:52:00,13.9,1,0,1,3,0,0,0,0,0,0,0,NA,0
16,Jamie Lee,Rattray,F,1,4,pwhl,15:24:00,15.4,0,1,1,0,0,0,0,0,15,11,4,0.7333333333333333,0
10,Jess,Healey,D,1,4,pwhl,00:27:00,0.4,0,0,0,0,0,0,0,-1,0,0,0,NA,0
24,Lee,Stecklein,D,2,4,pwhl,22:50:00,22.8,0,0,0,0,0,0,6,0,0,0,0,NA,1
117,Abby,Cook,D,2,4,pwhl,11:30:00,11.5,0,0,0,0,0,0,0,0,0,0,0,NA,0
103,Sophia,Kunin,F,2,4,pwhl,12:17:00,12.3,1,0,1,1,0,0,0,1,1,0,1,0,0
23,Kelly,Pannek,F,2,4,pwhl,36:33:00,36.5,0,0,0,0,0,0,0,1,16,7,9,0.4375,0
25,Grace,Zumwinkle,F,2,4,pwhl,16:14:00,16.2,1,0,1,3,0,0,0,1,0,0,0,NA,0
116,Clair,DeGeorge,F,2,4,pwhl,11:02:00,11,0,0,0,1,0,0,0,0,5,0,5,0,0
91,Brooke,Bryant,F,2,4,pwhl,09:56:00,9.9,0,0,0,0,0,0,0,0,0,0,0,NA,0
105,Brittyn,Fleming,F,2,4,pwhl,09:57:00,9.9,0,1,1,0,0,0,0,1,0,0,0,NA,0
79,Maggie,Flaherty,D,2,4,pwhl,21:02:00,21,0,0,0,2,0,0,0,0,0,0,0,NA,1
97,Liz,Schepers,F,2,4,pwhl,13:26:00,13.4,0,0,0,0,0,0,2,1,14,7,7,0.5,0
90,Natalie,Buchbinder,D,2,4,pwhl,21:54:00,21.9,0,0,0,0,0,0,0,2,0,0,0,NA,0
129,Mellissa,Channell,D,2,4,pwhl,21:20:00,21.3,0,1,1,0,0,0,0,2,0,0,0,NA,0
118,Emma,Greco,D,2,4,pwhl,10:52:00,10.9,0,0,0,2,0,0,0,0,0,0,0,NA,0
20,Kendall,Coyne Schofield,F,2,4,pwhl,19:09:00,19.1,0,0,0,0,0,0,0,0,1,0,1,0,1
21,Taylor,Heise,F,2,4,pwhl,16:42:00,16.7,1,0,1,1,0,0,0,0,14,3,11,0.21428571428571427,1
119,Dominique,Kremer,D,2,4,pwhl,03:35:00,3.6,0,0,0,0,0,0,0,0,0,0,0,NA,0
104,Denisa,Křížová,F,2,4,pwhl,13:44:00,13.7,0,0,0,1,0,0,0,-1,1,1,0,1,1
78,Susanna,Tapani,F,2,4,pwhl,14:33:00,14.6,0,0,0,4,0,0,0,2,0,0,0,NA,0
115,Michela,Cava,F,2,4,pwhl,09:47:00,9.8,0,0,0,1,0,0,0,0,0,0,0,NA,0
46,Olivia,Zafuto,D,4,5,pwhl,10:19:00,10.3,0,1,1,0,0,0,0,1,0,0,0,NA,0
150,Taylor,Baker,D,4,5,pwhl,13:08:00,13.1,0,0,0,0,0,0,0,0,0,0,0,NA,0
38,Brooke,Hobson,D,4,5,pwhl,21:06:00,21.1,0,0,0,0,0,0,0,-1,0,0,0,NA,0
36,Jessie,Eldridge,F,4,5,pwhl,20:12:00,20.2,0,1,1,4,0,0,0,0,0,0,0,NA,1
45,Kayla,Vespa,F,4,5,pwhl,02:42:00,2.7,0,0,0,1,0,0,0,0,0,0,0,NA,0
42,Abby,Roque,F,4,5,pwhl,25:55:00,25.9,1,0,1,4,0,0,0,-1,18,14,4,0.7777777777777778,0
33,Chloe,Aurard,F,4,5,pwhl,15:17:00,15.3,0,1,1,2,0,0,0,0,0,0,0,NA,0
39,Alexandra,Labelle,F,4,5,pwhl,03:24:00,3.4,0,0,0,2,0,0,0,0,4,2,2,0.5,0
87,Jaime,Bourbonnais,D,4,5,pwhl,26:20:00,26.3,0,0,0,1,0,0,2,0,0,0,0,NA,1
44,Ella,Shelton,D,4,5,pwhl,26:35:00,26.6,0,0,0,5,0,0,2,0,0,0,0,NA,1
37,Elizabeth,Giguère,F,4,5,pwhl,10:50:00,10.8,0,0,0,2,0,0,2,0,0,0,0,NA,0
40,Paetyn,Levis,F,4,5,pwhl,17:37:00,17.6,0,0,0,0,0,0,2,1,0,0,0,NA,1
148,Madison,Packer,F,4,5,pwhl,03:09:00,3.1,0,0,0,0,0,0,0,0,0,0,0,NA,0
34,Alex,Carpenter,F,4,5,pwhl,23:08:00,23.1,1,0,1,6,0,0,0,0,16,9,7,0.5625,1
35,Jade,Downie-Landry,F,4,5,pwhl,12:15:00,12.2,0,0,0,1,0,0,0,0,9,5,4,0.5555555555555556,0
149,Jill,Saulnier,F,4,5,pwhl,12:53:00,12.9,0,0,0,1,0,0,0,-1,0,0,0,NA,0
152,Johanna,Fällman,D,4,5,pwhl,12:12:00,12.2,0,0,0,0,0,0,0,1,0,0,0,NA,0
86,Emma,Woods,F,4,5,pwhl,16:55:00,16.9,0,1,1,2,0,0,0,1,1,1,0,1,0
147,Savannah,Norcross,F,4,5,pwhl,06:36:00,6.6,0,0,0,0,0,0,0,-1,0,0,0,NA,0
71,Jocelyne,Larocque,D,6,5,pwhl,31:07:00,31.1,0,1,1,5,0,0,0,0,0,0,0,NA,1
133,Lauriane,Rougeau,D,6,5,pwhl,14:28:00,14.5,0,0,0,2,0,0,0,1,0,0,0,NA,0
68,Kali,Flanagan,D,6,5,pwhl,18:39:00,18.6,0,0,0,1,0,0,0,1,0,0,0,NA,0
131,Olivia,Knowles,D,6,5,pwhl,07:48:00,7.8,0,0,0,0,0,0,4,0,0,0,0,NA,0
101,Alexa,Vasko,F,6,5,pwhl,09:47:00,9.8,1,0,1,2,0,0,0,1,12,5,7,0.4166666666666667,0
74,Allie,Munroe,D,6,5,pwhl,12:10:00,12.2,0,0,0,1,0,0,2,-1,0,0,0,NA,0
67,Renata,Fast,D,6,5,pwhl,28:17:00,28.3,0,1,1,1,0,0,0,-1,0,0,0,NA,1
126,Samantha,Cogan,F,6,5,pwhl,10:01:00,10,0,0,0,0,0,0,0,0,5,3,2,0.6,0
65,Jesse,Compher,F,6,5,pwhl,17:49:00,17.8,0,1,1,3,0,0,0,-1,3,1,2,0.3333333333333333,1
72,Rebecca,Leslie,F,6,5,pwhl,10:30:00,10.5,0,1,1,4,0,0,0,1,0,0,0,NA,0
75,Sarah,Nurse,F,6,5,pwhl,20:31:00,20.5,0,1,1,4,0,0,0,-2,3,1,2,0.3333333333333333,1
66,Maggie,Connors,F,6,5,pwhl,17:00:00,17,0,0,0,1,0,0,0,0,0,0,0,NA,0
127,Jess,Jones,F,6,5,pwhl,09:15:00,9.2,0,0,0,0,0,0,0,0,0,0,0,NA,0
100,Natalie,Spooner,F,6,5,pwhl,17:45:00,17.8,1,0,1,2,0,0,0,0,2,0,2,0,0
73,Emma,Maltais,F,6,5,pwhl,18:44:00,18.7,1,0,1,5,0,0,0,1,12,4,8,0.3333333333333333,0
128,Kaitlin,Willoughby,F,6,5,pwhl,09:30:00,9.5,0,0,0,0,0,0,0,0,0,0,0,NA,0
76,Blayre,Turnbull,F,6,5,pwhl,18:50:00,18.8,0,0,0,2,0,0,2,-2,11,3,8,0.2727272727272727,1
69,Brittany,Howard,F,6,5,pwhl,11:26:00,11.4,0,1,1,4,0,0,0,1,0,0,0,NA,0
165,Maude,Poulin-Labelle,D,6,5,pwhl,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
24,Lee,Stecklein,D,2,6,pwhl,28:44:00,28.7,0,1,1,1,0,0,0,1,0,0,0,NA,1
102,Claire,Butorac,F,2,6,pwhl,05:06:00,5.1,0,0,0,0,0,0,0,0,0,0,0,NA,0
117,Abby,Cook,D,2,6,pwhl,16:35:00,16.6,0,0,0,0,0,0,2,1,0,0,0,NA,0
103,Sophia,Kunin,F,2,6,pwhl,16:02:00,16,0,0,0,2,0,0,2,0,1,0,1,0,0
23,Kelly,Pannek,F,2,6,pwhl,15:45:00,15.8,0,2,2,1,0,0,0,2,14,9,5,0.6428571428571429,0
25,Grace,Zumwinkle,F,2,6,pwhl,18:10:00,18.2,3,0,3,4,0,0,0,3,0,0,0,NA,0
116,Clair,DeGeorge,F,2,6,pwhl,07:24:00,7.4,0,0,0,0,0,0,0,0,4,2,2,0.5,0
91,Brooke,Bryant,F,2,6,pwhl,01:52:00,1.9,0,0,0,1,0,0,0,1,0,0,0,NA,0
105,Brittyn,Fleming,F,2,6,pwhl,12:03:00,12.1,0,0,0,1,0,0,0,0,0,0,0,NA,0
79,Maggie,Flaherty,D,2,6,pwhl,27:24:00,27.4,0,0,0,0,0,0,0,0,0,0,0,NA,1
97,Liz,Schepers,F,2,6,pwhl,15:50:00,15.8,0,1,1,0,0,0,0,1,13,7,6,0.5384615384615384,0
90,Natalie,Buchbinder,D,2,6,pwhl,15:20:00,15.3,0,0,0,2,0,0,0,2,0,0,0,NA,0
129,Mellissa,Channell,D,2,6,pwhl,13:48:00,13.8,0,0,0,0,0,0,0,1,0,0,0,NA,0
118,Emma,Greco,D,2,6,pwhl,16:16:00,16.3,0,0,0,2,0,0,0,1,0,0,0,NA,0
20,Kendall,Coyne Schofield,F,2,6,pwhl,18:18:00,18.3,0,0,0,2,0,0,0,0,2,0,2,0,1
21,Taylor,Heise,F,2,6,pwhl,18:14:00,18.2,0,0,0,1,0,0,0,0,17,6,11,0.35294117647058826,1
104,Denisa,Křížová,F,2,6,pwhl,15:02:00,15,0,0,0,0,0,0,0,0,0,0,0,NA,1
78,Susanna,Tapani,F,2,6,pwhl,18:12:00,18.2,0,2,2,2,0,0,0,3,1,0,1,0,0
115,Michela,Cava,F,2,6,pwhl,09:34:00,9.6,0,0,0,3,0,0,2,0,1,0,1,0,0
99,Mariah,Keopple,D,3,6,pwhl,09:20:00,9.3,0,0,0,0,0,0,0,0,0,0,0,NA,0
163,Catherine,Daoust,D,3,6,pwhl,15:15:00,15.2,0,0,0,0,0,0,0,-1,0,0,0,NA,0
