"player_id","first_name","last_name","position","team_id","game_id","league","toi","time_on_ice","saves","goals_against","shots_against","goals","assists","points","penalty_minutes","faceoff_attempts","faceoff_wins","faceoff_losses","faceoff_pct","starting"
"59","Emerance","Maschmeyer","G",5,22,"pwhl","63:28",63.5,22,2,24,0,0,0,0,0,0,0,NA,1
"19","Emma","Söderberg","G",1,23,"pwhl","60:52",60.9,18,3,21,0,0,0,0,0,0,0,NA,1
"6","Aerin","Frankel","G",1,23,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"22","Nicole","Hensley","G",2,23,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"123","Maddie","Rooney","G",2,23,"pwhl","60:27",60.5,11,4,15,0,0,0,0,0,0,0,NA,1
"155","Corinne","Schroeder","G",4,24,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"41","Abigail","Levy","G",4,24,"pwhl","61:58",62,35,2,37,0,0,0,0,0,0,0,NA,1
"22","Nicole","Hensley","G",2,24,"pwhl","62:56",62.9,33,1,34,0,1,1,0,0,0,0,NA,1
"123","Maddie","Rooney","G",2,24,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"70","Erica","Howe","G",6,25,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"64","Kristen","Campbell","G",6,25,"pwhl","60:00",60,24,1,25,0,0,0,0,0,0,0,NA,1
"22","Nicole","Hensley","G",2,25,"pwhl","60:00",60,24,4,28,0,0,0,0,0,0,0,NA,1
"123","Maddie","Rooney","G",2,25,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"48","Sandra","Abstreiter","G",5,26,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"59","Emerance","Maschmeyer","G",5,26,"pwhl","62:12",62.2,27,4,31,0,0,0,0,0,0,0,NA,1
"155","Corinne","Schroeder","G",4,26,"pwhl","62:12",62.2,39,3,42,0,0,0,0,0,0,0,NA,1
"41","Abigail","Levy","G",4,26,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"19","Emma","Söderberg","G",1,27,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"6","Aerin","Frankel","G",1,27,"pwhl","62:36",62.6,28,2,30,0,0,0,0,0,0,0,NA,1
"85","Elaine","Chuli","G",3,27,"pwhl","62:36",62.6,26,1,27,0,0,0,0,0,0,0,NA,1
"28","Ann-Renée","Desbiens","G",3,27,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"19","Emma","Söderberg","G",1,29,"pwhl","60:00",60,13,4,17,0,0,0,0,0,0,0,NA,1
"113","Cami","Kronish","G",1,29,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"70","Erica","Howe","G",6,29,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"64","Kristen","Campbell","G",6,29,"pwhl","60:00",60,32,3,35,0,1,1,0,0,0,0,NA,1
"22","Nicole","Hensley","G",2,28,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"123","Maddie","Rooney","G",2,28,"pwhl","60:00",60,23,1,24,0,0,0,0,0,0,0,NA,1
"48","Sandra","Abstreiter","G",5,28,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"59","Emerance","Maschmeyer","G",5,28,"pwhl","58:26",58.4,22,2,24,0,0,0,0,0,0,0,NA,1
"70","Erica","Howe","G",6,30,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"64","Kristen","Campbell","G",6,30,"pwhl","59:56",59.9,30,0,30,0,0,0,0,0,0,0,NA,1
"85","Elaine","Chuli","G",3,30,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"28","Ann-Renée","Desbiens","G",3,30,"pwhl","59:52",59.9,21,2,23,0,0,0,0,0,0,0,NA,1
"48","Sandra","Abstreiter","G",5,31,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"59","Emerance","Maschmeyer","G",5,31,"pwhl","58:45",58.8,22,2,24,0,0,0,0,0,0,0,NA,1
"22","Nicole","Hensley","G",2,31,"pwhl","60:00",60,28,1,29,0,0,0,0,0,0,0,NA,1
"123","Maddie","Rooney","G",2,31,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"19","Emma","Söderberg","G",1,32,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"6","Aerin","Frankel","G",1,32,"pwhl","61:59",62,22,2,24,0,0,0,0,0,0,0,NA,1
"155","Corinne","Schroeder","G",4,32,"pwhl","62:28",62.5,34,1,35,0,0,0,0,0,0,0,NA,1
"41","Abigail","Levy","G",4,32,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"85","Elaine","Chuli","G",3,33,"pwhl","59:22",59.4,21,1,22,0,0,0,0,0,0,0,NA,1
"28","Ann-Renée","Desbiens","G",3,33,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"22","Nicole","Hensley","G",2,33,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"123","Maddie","Rooney","G",2,33,"pwhl","58:10",58.2,18,2,20,0,0,0,0,0,0,0,NA,1
"19","Emma","Söderberg","G",1,83,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"6","Aerin","Frankel","G",1,83,"pwhl","58:54",58.9,29,3,32,0,0,0,0,0,0,0,NA,1
"48","Sandra","Abstreiter","G",5,83,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"59","Emerance","Maschmeyer","G",5,83,"pwhl","60:00",60,30,2,32,0,0,0,0,0,0,0,NA,1
"19","Emma","Söderberg","G",1,34,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"6","Aerin","Frankel","G",1,34,"pwhl","60:00",60,29,1,30,0,0,0,0,0,0,0,NA,1
"48","Sandra","Abstreiter","G",5,34,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"59","Emerance","Maschmeyer","G",5,34,"pwhl","56:49",56.8,20,3,23,0,0,0,0,0,0,0,NA,1
"155","Corinne","Schroeder","G",4,35,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"41","Abigail","Levy","G",4,35,"pwhl","65:00",65,21,2,23,0,0,0,0,0,0,0,NA,1
"85","Elaine","Chuli","G",3,35,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"28","Ann-Renée","Desbiens","G",3,35,"pwhl","65:00",65,19,2,21,0,0,0,0,0,0,0,NA,1
"70","Erica","Howe","G",6,36,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"64","Kristen","Campbell","G",6,36,"pwhl","65:00",65,27,1,28,0,0,0,0,0,0,0,NA,1
"155","Corinne","Schroeder","G",4,36,"pwhl","64:22",64.4,29,1,30,0,0,0,0,0,0,0,NA,1
"41","Abigail","Levy","G",4,36,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"85","Elaine","Chuli","G",3,37,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"28","Ann-Renée","Desbiens","G",3,37,"pwhl","59:42",59.7,28,3,31,0,0,0,0,0,0,0,NA,1
"48","Sandra","Abstreiter","G",5,37,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"59","Emerance","Maschmeyer","G",5,37,"pwhl","59:19",59.3,19,5,24,0,0,0,0,0,0,0,NA,1
"22","Nicole","Hensley","G",2,38,"pwhl","58:41",58.7,21,1,22,0,0,0,2,0,0,0,NA,1
"123","Maddie","Rooney","G",2,38,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"19","Emma","Söderberg","G",1,38,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"6","Aerin","Frankel","G",1,38,"pwhl","59:31",59.5,41,0,41,0,0,0,0,0,0,0,NA,1
"22","Nicole","Hensley","G",2,40,"pwhl","62:24",62.4,20,4,24,0,0,0,0,0,0,0,NA,1
"123","Maddie","Rooney","G",2,40,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"70","Erica","Howe","G",6,40,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"64","Kristen","Campbell","G",6,40,"pwhl","63:46",63.8,27,3,30,0,0,0,0,0,0,0,NA,1
"48","Sandra","Abstreiter","G",5,39,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"59","Emerance","Maschmeyer","G",5,39,"pwhl","60:00",60,24,2,26,0,0,0,0,0,0,0,NA,1
"155","Corinne","Schroeder","G",4,39,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"41","Abigail","Levy","G",4,39,"pwhl","58:12",58.2,26,3,29,0,0,0,0,0,0,0,NA,1
"48","Sandra","Abstreiter","G",5,41,"pwhl","34:05",34.1,10,1,11,0,0,0,0,0,0,0,NA,0
"59","Emerance","Maschmeyer","G",5,41,"pwhl","24:43",24.7,10,3,13,0,0,0,0,0,0,0,NA,1
"70","Erica","Howe","G",6,41,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"64","Kristen","Campbell","G",6,41,"pwhl","60:00",60,23,2,25,0,0,0,0,0,0,0,NA,1
"85","Elaine","Chuli","G",3,42,"pwhl","59:44",59.7,30,1,31,0,0,0,0,0,0,0,NA,1
"28","Ann-Renée","Desbiens","G",3,42,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"19","Emma","Söderberg","G",1,42,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
